top_dir,sub_dir,field
ALL,,ALL
ALL_GIM,,ALL_GIM
ALL_TRD,,ALL_TRD
AShareMoneyFlow,,buy_trades_exlarge_order
AShareMoneyFlow,,buy_trades_large_order
AShareMoneyFlow,,buy_trades_med_order
AShareMoneyFlow,,buy_trades_small_order
AShareMoneyFlow,,buy_value_exlarge_order
AShareMoneyFlow,,buy_value_exlarge_order_act
AShareMoneyFlow,,buy_value_large_order
AShareMoneyFlow,,buy_value_large_order_act
AShareMoneyFlow,,buy_value_med_order
AShareMoneyFlow,,buy_value_med_order_act
AShareMoneyFlow,,buy_value_small_order
AShareMoneyFlow,,buy_value_small_order_act
AShareMoneyFlow,,buy_volume_exlarge_order
AShareMoneyFlow,,buy_volume_exlarge_order_act
AShareMoneyFlow,,buy_volume_large_order
AShareMoneyFlow,,buy_volume_large_order_act
AShareMoneyFlow,,buy_volume_med_order
AShareMoneyFlow,,buy_volume_med_order_act
AShareMoneyFlow,,buy_volume_small_order
AShareMoneyFlow,,buy_volume_small_order_act
AShareMoneyFlow,,close_moneyflow_pct_value
AShareMoneyFlow,,close_moneyflow_pct_value_l
AShareMoneyFlow,,close_moneyflow_pct_volume
AShareMoneyFlow,,close_moneyflow_pct_volume_l
AShareMoneyFlow,,close_net_inflow_rate_valu_l
AShareMoneyFlow,,close_net_inflow_rate_value
AShareMoneyFlow,,close_net_inflow_rate_volume
AShareMoneyFlow,,close_net_inflow_rate_volume_l
AShareMoneyFlow,,moneyflow_pct_value
AShareMoneyFlow,,moneyflow_pct_value_l
AShareMoneyFlow,,moneyflow_pct_volume
AShareMoneyFlow,,moneyflow_pct_volume_l
AShareMoneyFlow,,net_inflow_rate_value
AShareMoneyFlow,,net_inflow_rate_value_l
AShareMoneyFlow,,net_inflow_rate_volume
AShareMoneyFlow,,net_inflow_rate_volume_l
AShareMoneyFlow,,open_moneyflow_pct_value
AShareMoneyFlow,,open_moneyflow_pct_value_l
AShareMoneyFlow,,open_moneyflow_pct_volume
AShareMoneyFlow,,open_moneyflow_pct_volume_l
AShareMoneyFlow,,open_net_inflow_rate_value
AShareMoneyFlow,,open_net_inflow_rate_value_l
AShareMoneyFlow,,open_net_inflow_rate_volume
AShareMoneyFlow,,open_net_inflow_rate_volume_l
AShareMoneyFlow,,s_mfd_inflow
AShareMoneyFlow,,s_mfd_inflow_close
AShareMoneyFlow,,s_mfd_inflow_close_large_order
AShareMoneyFlow,,s_mfd_inflow_closevolume
AShareMoneyFlow,,s_mfd_inflow_closevolume_l
AShareMoneyFlow,,s_mfd_inflow_large_order
AShareMoneyFlow,,s_mfd_inflow_open
AShareMoneyFlow,,s_mfd_inflow_open_large_order
AShareMoneyFlow,,s_mfd_inflow_openvolume
AShareMoneyFlow,,s_mfd_inflow_openvolume_l
AShareMoneyFlow,,s_mfd_inflowvolume
AShareMoneyFlow,,s_mfd_inflowvolume_large_order
AShareMoneyFlow,,sell_trades_exlarge_order
AShareMoneyFlow,,sell_trades_large_order
AShareMoneyFlow,,sell_trades_med_order
AShareMoneyFlow,,sell_trades_small_order
AShareMoneyFlow,,sell_value_exlarge_order
AShareMoneyFlow,,sell_value_exlarge_order_act
AShareMoneyFlow,,sell_value_large_order
AShareMoneyFlow,,sell_value_large_order_act
AShareMoneyFlow,,sell_value_med_order
AShareMoneyFlow,,sell_value_med_order_act
AShareMoneyFlow,,sell_value_small_order
AShareMoneyFlow,,sell_value_small_order_act
AShareMoneyFlow,,sell_volume_exlarge_order
AShareMoneyFlow,,sell_volume_exlarge_order_act
AShareMoneyFlow,,sell_volume_large_order
AShareMoneyFlow,,sell_volume_large_order_act
AShareMoneyFlow,,sell_volume_med_order
AShareMoneyFlow,,sell_volume_med_order_act
AShareMoneyFlow,,sell_volume_small_order
AShareMoneyFlow,,sell_volume_small_order_act
AShareMoneyFlow,,tot_volume_ask
AShareMoneyFlow,,tot_volume_bid
AShareMoneyFlow,,trades_count
AShareMoneyFlow,,value_diff_institute
AShareMoneyFlow,,value_diff_institute_act
AShareMoneyFlow,,value_diff_large_trader
AShareMoneyFlow,,value_diff_large_trader_act
AShareMoneyFlow,,value_diff_med_trader
AShareMoneyFlow,,value_diff_med_trader_act
AShareMoneyFlow,,value_diff_small_trader
AShareMoneyFlow,,value_diff_small_trader_act
AShareMoneyFlow,,volume_diff_institute
AShareMoneyFlow,,volume_diff_institute_act
AShareMoneyFlow,,volume_diff_large_trader
AShareMoneyFlow,,volume_diff_large_trader_act
AShareMoneyFlow,,volume_diff_med_trader
AShareMoneyFlow,,volume_diff_med_trader_act
AShareMoneyFlow,,volume_diff_small_trader
AShareMoneyFlow,,volume_diff_small_trader_act
Basedata,,amount
Basedata,,cap
Basedata,,capfree
Basedata,,close
Basedata,,country
Basedata,,exchange
Basedata,,high
Basedata,,industry
Basedata,,low
Basedata,,open
Basedata,,sector
Basedata,,st
Basedata,,status
Basedata,,subindustry
Basedata,,subsector
Basedata,,tradecnt
Basedata,,volume
Basedata,,vwap
Dipv,,dipv1
Dipv,,dipv10
Dipv,,dipv11
Dipv,,dipv12
Dipv,,dipv13
Dipv,,dipv14
Dipv,,dipv15
Dipv,,dipv16
Dipv,,dipv17
Dipv,,dipv18
Dipv,,dipv19
Dipv,,dipv2
Dipv,,dipv20
Dipv,,dipv3
Dipv,,dipv4
Dipv,,dipv5
Dipv,,dipv6
Dipv,,dipv7
Dipv,,dipv8
Dipv,,dipv9
Dipva,,dipva1
Dipva,,dipva10
Dipva,,dipva11
Dipva,,dipva12
Dipva,,dipva13
Dipva,,dipva14
Dipva,,dipva15
Dipva,,dipva16
Dipva,,dipva17
Dipva,,dipva18
Dipva,,dipva19
Dipva,,dipva2
Dipva,,dipva20
Dipva,,dipva3
Dipva,,dipva4
Dipva,,dipva5
Dipva,,dipva6
Dipva,,dipva7
Dipva,,dipva8
Dipva,,dipva9
DmgrPwang_industry_equ_fancy_factors,,combo
DmgrPwang_industry_equ_fancy_factors,,t10_art_q_yoyd
DmgrPwang_industry_equ_fancy_factors,,t10_fat_q_yoyd
DmgrPwang_industry_equ_fancy_factors,,t10_gr_pcf_q
DmgrPwang_industry_equ_fancy_factors,,t10_gr_pcf_ttm
DmgrPwang_industry_equ_fancy_factors,,t10_gr_pe_q
DmgrPwang_industry_equ_fancy_factors,,t10_oper_l_qoq
DmgrPwang_industry_equ_fancy_factors,,t10_static_note_ratio
DmgrPwang_industry_equ_fancy_factors,,t1_corr_vp
DmgrPwang_industry_equ_fancy_factors,,t1_np_ttm_qoq
DmgrPwang_industry_equ_fancy_factors,,t1_ocfa
DmgrPwang_industry_equ_fancy_factors,,t1_sude
DmgrPwang_industry_equ_fancy_factors,,t1_sudrev
DmgrPwang_industry_equ_fancy_factors,,t1_ta_entropy
DmgrPwang_industry_equ_fancy_factors,,t1_udsl_ucl
DmgrPwang_industry_equ_fancy_factors,,t2_ai_np_yoy
DmgrPwang_industry_equ_fancy_factors,,t2_ai_sude
DmgrPwang_industry_equ_fancy_factors,,t2_con_np_yoy
DmgrPwang_industry_equ_fancy_factors,,t2_con_rev_yoy
DmgrPwang_industry_equ_fancy_factors,,t2_con_sude
DmgrPwang_industry_equ_fancy_factors,,t2_con_sudrev
DmgrPwang_industry_equ_fancy_factors,,t2_d_q_stop
DmgrPwang_industry_equ_fancy_factors,,t2_roe_ttm_yoyd
DmgrPwang_industry_equ_fancy_factors,,t3_ast_da12_etop
DmgrPwang_industry_equ_fancy_factors,,t3_ast_profit_uppct
DmgrPwang_industry_equ_fancy_factors,,t3_con_da_pe_60
DmgrPwang_industry_equ_fancy_factors,,t3_con_da_ps_40
DmgrPwang_industry_equ_fancy_factors,,t3_fund_top10_negvalue_pct
DmgrPwang_industry_equ_fancy_factors,,t3_fund_top10_weight_max
DmgrPwang_industry_equ_fancy_factors,,t3_fund_top10_weight_mean
DmgrPwang_industry_equ_fancy_factors,,t3_hk_holdratio_all
