name,verdict,viol_days,maxpos_max,rejected_on,fail_reason
AlphaXmfRpt1270LowLiqD5Ind,硬顶仍拒,1990,0.5000,2026-07-10,窗口内 691/762 天违规: 20221125: 多头持股数量 48 只少于 50 只; 20221128: 多头持股数量 47 只少于 50 只; 202
AlphaHwangF445Fb06091305241924e9b0,硬顶仍拒,892,0.4998,2026-06-26,20150105: 空头持股数量 7 只少于 50 只
AlphaHwangF445Fb060814045362c3a99e,硬顶仍拒,707,0.4994,2026-06-26,20150107: 个股最大持仓 8.44% 超过 5.0%
AlphaHwangF445Fb060521141559046284,硬顶仍拒,485,0.4995,2026-06-26,20160106: 空头持股数量 5 只少于 50 只
AlphaXmfRpt0445W14FqRepairL35P8D5Ind,硬顶仍拒,85,0.1523,2026-07-02,20150708: 总持股数量 51 只 (多头 23 + 空头 28) 少于 100 只
AlphaFguo20260607GA001,超容忍仍拒,40,0.0213,2026-06-09,20181213: 空头持股数量 44 只少于 50 只
AlphaXmfRpt1400OverheatTailRev21D8CapInd,超容忍仍拒,40,0.0692,2026-07-02,20160113: 个股最大持仓 5.70% 超过 5.0%
AlphaXmfRpt0524W17FragileAuctionFade45A20S8D8IndD1Long,超容忍仍拒,31,0.0674,2026-07-02,20160311: 个股最大持仓 5.13% 超过 5.0%
AlphaFguo20260607GA002,超容忍仍拒,24,0.0213,2026-06-09,20181220: 空头持股数量 44 只少于 50 只
AlphaZxu_260506_PriceWeightedPressure,超容忍仍拒,23,0.0667,2026-06-05,20150707: 总持股数量 82 只 (多头 48 + 空头 34) 少于 100 只
AlphaXmfRpt0443InvBreakoutD3IndCap,转放行(毛刺),8,0.0745,2026-07-02,20150731: 个股最大持仓 5.25% 超过 5.0%
AlphaXmfRpt0462CrowdingUnwindOrthExtremesW120S10D10Ind,转放行(毛刺),6,0.0280,2026-07-02,20151015: 总持股数量 99 只 (多头 53 + 空头 46) 少于 100 只
AlphaXmfRpt0450TrendMa60Pullback20D5IndCap,转放行(毛刺),5,0.0591,2026-07-02,20150803: 总持股数量 99 只 (多头 50 + 空头 49) 少于 100 只
AlphaXmf5mVolumeQ25MeanZW60Bar42M,转放行(毛刺),4,0.0572,2026-07-02,20150107: 个股最大持仓 5.04% 超过 5.0%
AlphaXmfRpt0443StableSyncFollowResidW30F5D6CapIndD1Long,转放行(毛刺),4,0.0519,2026-07-02,20160122: 个股最大持仓 5.04% 超过 5.0%
AlphaXmfRpt0462BreakdownVolConfirmW80S10D10Ind,转放行(毛刺),4,0.0283,2026-07-02,20160308: 多头持股数量 47 只少于 50 只
AlphaLhwF445Dr038d3d7da4bfe9a,转放行(毛刺),2,0.0621,2026-06-09,20150710: 个股最大持仓 6.21% 超过 5.0%
AlphaXmfRpt0443W12ImpactAbsorbFollowW40F8D8CapIndD1Long,转放行(毛刺),2,0.0699,2026-07-02,20180627: 个股最大持仓 6.99% 超过 5.0%
AlphaZxu_260420_TailNetBuyRev,转放行(毛刺),2,0.0680,2026-06-05,20150211: 个股最大持仓 5.65% 超过 5.0%
AlphaFguo20260603LLM007,转放行(毛刺),1,0.0297,2026-06-09,20150710: 总持股数量 70 只 (多头 36 + 空头 34) 少于 100 只
AlphaHwangF445Fb060522385533c6e573,转放行(毛刺),1,0.0626,2026-06-26,20210111: 个股最大持仓 6.26% 超过 5.0%
AlphaXmfRpt0462W2OverboughtRsi14Rel60D12Ind,转放行(毛刺),1,0.0230,2026-07-02,20150813: 多头持股数量 48 只少于 50 只
